	14C	22C	38C	46C	6C	10C	26C	2C	34C	42C	13C	21C	29C	37C	45C	5C	17C	1C	25C	33C	41C	9C	15C	23C	39C	47C	7C	11C	19C	27C	35C	3C	43C	16C	24C	40C	48C	8C	12C	20C	28C	36C	44C	4C
ENSMFAG00000000025	185.6624	446.446	293.948	191.735	231.701	112.432	131.696	150.166	152.891	262.368	258.055	171.956	210.666	178.309	205.603	131.729	155.981	153.095	232.0152	191.645	268.849	393.572	234.758	153.063	114.073	255.041	56.3471	220.942	88.443	142.45	93.6797	507.342	94.4847	107.705	271.376	134.116	135.59	94.9506	104.324	55.0436	140.42	207.759	78.4334	129.012
ENSMFAG00000000026	194.723	478.823	415.412	182.766	328.2	210.984	189.603	554.678	440.345	134.765	12.5859	0	0	0	22.4188	16.4505	19.9758	0	0	1.00813	46.7527	11	0	0	0	0	0	0	0	0	0	0	0	0	2.33945	5.42888	2	0	0	0	0	8.27304	6	0
ENSMFAG00000000027	5	5	3	0	4	0	2	4	2	1	16	2	6	1	0	1	3	12	8	4	7	8	19	3	1	6	2	13	4	2	1	0	0	3	13	6	4	0	3	1	0	7	2	8.72686
ENSMFAG00000000028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000029	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000030	33.2308	148.025	81.9286	56.3271	123.354	108.952	41.3529	172.15	111.14	42.8571	31.3875	37.4952	5.78571	34.3636	30.6429	29.8378	56.3158	63.8641	38.7209	34.8372	27.7895	99.8516	5.625	2.25	2	4	0.5	2.25	5.5	0	7.5	0	3.25	811.063	1114.21	558.393	408.172	1135.93	621.617	492.843	232.853	1080.85	388.509	855.053
ENSMFAG00000000031	0	0	0	0	0	1.01923	1.0152	0	0	2.02624	0	0	0	0	0	1.00972	0	0	0	2.0201	0	0	0	0	0	1.0096	0	1.01139	0	0	0	3.04758	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000033	475.001	738.63	1381.09	384.034	1023.69	420.76	625.892	910.211	1085.44	703.251	773.89	869.951	550.577	497.354	852.842	557.325	900.988	1516.26	775.568	472.384	741.329	554.048	549.971	777.437	411.021	481.997	81.9939	674.809	212.828	304.43	249.188	407.069	302.527	1072.21	968.1	2030.92	1838.31	264.111	390.612	598.308	748.199	3218.5	1790.45	684.404
ENSMFAG00000000034	10	25	89	29	58	0	0	50	0	3	0	17	13	0	0	0	6	0	55	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	20	22	0	112	0	14	46	23	37
ENSMFAG00000000035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	152	10	94	6	336	124	13	0	167	32	65
ENSMFAG00000000036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000037	11468.96813	17589.03457	19850.98892	13397.95928	15957.03724	13845	7654.99935	22800.02123	20215.9645	14243.01737	3878.99859	5253.00311	5107.00487	5036.99983	5475	4297	5891.00465	8933	4823	7853.9974	6116.9954	5851.00089	8099	16249.9762	16054.0096	15060.9672	8392.99647	14163.99051	19200.9843	15867.96817	22536.97221	45961.0409	27023.9862	8818.9955	11144.96397	10924.96111	13719.04501	8065.99849	16245.9523	13592.01182	17518.96463	40793.0004	20417.0052	17507.97091
ENSMFAG00000000038	1228	1467	3053.997	1068	1880.003	1019	889	3679	2653.997	2334.998	583	594	575	606	693	684	733	639	541	1083.9996	688	1001.0002	702	1533	1311	1459.996	565	15.999980652391	709	776	1235.9998	8449.99621	1393.99945	689	1058	1526.99961	1392.997	671.0000134406	258.0001	697	106	2618.005	898	269.9997
ENSMFAG00000000039	1639	2498	4671	2465	4626	1827	4014	2264	1881	1372	24774	44719	28136	42581	44524	35399	36141	35121	24103	30972	30507	28196	11491	42872	18105	13253	7307	2772	13428	3129	12173	7688	3526	78718	65162	52703	55030	72250	68273	31430	61964	77622	28124	37255
ENSMFAG00000000040	5	607	558	98.99997	7	0	179	101	315	72	0	0	1	13.99996	186	231	0	0	116.000068	1	2	0	3	0	0	48.00002	0	0	0	0	4	0	0	174	216	30	74	24	182	0	2	156	43.999946	90
ENSMFAG00000000041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000042	3013.076	5779.126	2984.8741	2268.713	2764.7221	2165.9	2723.161	3139.502	2219.68	2823.017	3101.899	4012.598	3305.147	2755.532	3030.801	3250.172	3990.473	2577.696	3249.312	2462.913	2850.91	1921.906	959.213	3135.174	1592.079	1149.7485	1438.975	2953.562	1069.2171	1603.82	2161.788	0	2411.908	2858.613	1939.825	3426.708	3809.627	2363.65	2546.818	1903.809	3897.187	6512.86	3664.701	3330.755
ENSMFAG00000000043	198.9998	489.0002876	396	115	792	136.0001	161.9999	203.00009	504.0005	589.99991	252.0001	41.99997	383.9998	120	154	452.99951044948	341	0	895.0003337193	433.000506052	301.999512	452.0001	179	350	521.99992	369.000300027833	280.9998	11	392.9997	500.99990025934	479.9997	0	753	35.00004	0	516.0001	40.99995	0	240.9996373	188	1	698.0001	280	48.99997
ENSMFAG00000000044	2465	3644	3644.99645	1329	2713.84	3545	3823.00271	4705.001	3331.68	2470	1913.69574	1749.82	1604.00416	3055.84828	1597.85042	1685.00109	2262	1394	2140.86	1751	1802	3170	292	1584.86	995.863	864.772	298	1028.00357	1213	1109.27	1549.68	0	977	3170	2613	4719.14	4296.72	3827	3823.69724	2164.78	4087.61	8002.61	3149.00164	3148
ENSMFAG00000000045	1876.26	1170.19	2041.78	1328.01	2053.51	1122.85	904.189	2116.54	1399.1	1524.84	3106.91	4444.59	3749.03	1839.42	1853.37	3006.48	3583.87	733.26	2168.45	1908.16	1356.34	1629.05	3518.55	11410.6	6001.83	6359.52	3241.62	10173	8831.01	8395.87	5629.22	45391.5	10794.4	2388.26	2947.78	2318.52	2539.71	2362.82	1541.79	1380.06	2297.9	5893.12	1729.61	1727.8
ENSMFAG00000000046	1	11.0553	8.01074	3.01826	7.02011	2.36908	3	9.88435	6.02687	3.00163	6.41054	7.00931	8.00723	3.06469	3.03473	3.00493	6	17.4964	9.11086	4.02711	8.16669	4.00562	4.21303	5.2303	2.0506	4.94638	0	1.00164	3.03601	7	5.016	4.0215	0	1.00767	39.8789	11.5707	2.76787	3.21892	4.019	9.98218	4.01931	12.1889	5.03951	1.00495
ENSMFAG00000000047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000048	218.0004	75	142.00006	29	0	0	3	0	120	0	0	0	0	0	0	0	0	0	0	0	0	78	4	0	1	0	1	131.00003	0	0	27	0	0	293	141.9996	133	333	0	0	0	18	316	174	76
ENSMFAG00000000049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000050	19	308.00015	57.00002	38	234.999706900048	0	164.9996893574	87.0001	63.999965377	116.999990135206	0	69	6.99999923433	26.99996	0	32.999981	10	0	0	24.00004	26	73.99999978	720.0003	3119.9997	1180.99629005929	1301.0013694542	677.9996	635.99940105599	1310.00096	2528.0019	976.0001307517	7.99999569327	1002.000172207	0	0	0	26.000006164	0	0	55	10	53.00005	0	0
ENSMFAG00000000051	3004.89	8865.5	2913.43	3508.97	5989.59	1474.61	2882.09	6909.83	4045.01	3052.82	410.87	1156.51	1070.74	1053.74	698.429	773.706	1391.8	778.455	1798.29	741.071	1367.16	782.649	202.273	165.161	169.964	166.711	135.177	378.251	157.112	169.264	253.188	484.609	161.269	1310.11	758.288	295.186	1032.39	119.41	862.144	753.026	653.936	1472.85	585.224	318.935
ENSMFAG00000000052	0	0	0	0	0	0	0	81.1373	0	0	0	31.8308	0	17.8835	47.2309	0	0	0	56.7586	72.4595	64.0508	0	0	0	44.7327	0	0	0	0	0	0	0	0	33	0	26.7697	25.5068	0	0	59.9438	0	20.7543	18.3491	31.8546
ENSMFAG00000000053	4690	5175	5685	4263	4952	4653	3225	6367	5747	4236.99996	3332	2389	3194	4540	3958	2685	4225.9958	2701	4078	3979	4558	5582	4358	7095	7382	7537	3829	10078	9130	6338	8011	0	7016	12878	6744	6507.99981	6676.99586	4287	18982	5661	5135	13342	6182	7544
ENSMFAG00000000054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000055	0	0	0	0	0	0	4	0	0	0	3	165	72	43.99996	42	51	0	36	20.999978	13	1	58	0	0	1	3	0	0	0	0	0	0	0	208.00021	0	132	0	0	288	23.000021	0	193.00018	38.9999954	67.99999
ENSMFAG00000000056	14.1464	20.1654	18.1663	13.1429	20.1697	14.1492	15.1515	26.222	16.1474	17.1618	10.0891	13.1703	14.1246	14.1383	12.1203	21.3245	19.22	18.2175	18.1688	18.2405	18.1709	19.1863	15.1326	40.3163	18.1367	20.2068	9.0748	9.07782	17.1472	18.177	11.0961	13.1772	9.08658	17.4386	40.2714	27.9082	39.0823	27.6999	24.7981	24.5981	23.5461	118.441	23.6256	23.75
ENSMFAG00000000057	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ENSMFAG00000000058	45	0	122	0	67	0	0	0	153	0	905	1084	520	426	559	526	1137	141	877	753	1118	1115	0	262	25	71	0	0	79	101	114	0	0	199	308	212	148	0	481	202	932	769	344	345
ENSMFAG00000000059	${tasks.cpus}	1258.004	2085.33	969.8319	1228.8381	2171.554	1450.014	1442.265	1785.604	899.9779	798.037	929.594	1208.74	962.482	1068.5013	930.401	1129.986	865.304	1135.168	1148.84	974.6446	1180.432	1076.6585	1200.0627	872.6746	696.994	451.8796	1431.473	565.183	779.1016	919.1433	2634.13	482.271	984.3958	784.5055	757.4509	725.861	969.909	1173.87	524.3543	1006.84	2243.257	908.44	703.5319
ENSMFAG00000000060	0	0	6	0	0	0	0	0	90	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	88	29	2	0	0	0	194	3.0000016	29	7
ENSMFAG00000000061	311.3446	276.9337	546.4577	180.5131	511.4354	268.7836	195.2063	443.3149	414.8324	396.0816	251.8804	310.1585	257.9635	438.9396	112.6192	226.5421	496.869	225.4278	262.194	158.7749	130.8313	229.0463	370.052	179.3386	270.075	165.2603	56.4981	269.9308	172.2995	149.0058	224.3532	1444.137	62.3966	281.4585	294.3843	286.9193	201.6256	769.8428	564.0474	142.8089	386.6426	510.3224	161.4863	485.8463
ENSMFAG00000000062	1619.802	3209.785	5775.055	3921.337	4275.268	3901.687	1164.91848	7108.212	4721.2084	2628.3089	2332.082	1878.711	2822.956	1835.117	3200.828	2284.0781	1417.4061	2792.72532586	2329.896	2490.285	2043.396	2660.70793699	1516.0560161345	949.68660573147	2750.655	2595.372	1407.1384	2223.733	1133.301961	2308.8316	4713.16	1268.203594	5310.809	2359.685	4920.659	2741.555	2916.448	1014.470929	2957.817	2026.629	934.324600167849	10045.054	2518.9142	3211.617
ENSMFAG00000000063	783	2225	1119	1021	1492	1460	1617	2137	796	1066	753	634	821	648	1248	771	946	784	1347	955	1082	836	322	1117	1110	756	415	518	1193	884.994	1705	9701.99	960	1315	943	1247	1454	227	1125	707	1861	2229.99	1301	935
ENSMFAG00000000064	2489	2704	2723	2734	3183	2616	732	3950	2405	2794	4147	3763	4780	3392	5294	3999	3313	3345	4140	2737	4373	2770	1869	1568	3753	3169	2290	4547	5060	3108	4930	0	3529	966	3116	2319	2054	113	1387	1315	914	3146	1133	1322
ENSMFAG00000000065	551	1155	539	322.9996	9	450.9999	112.00014	788	501	184.0004	1122	1002	1338	1487.997	1526.996	555	1496	952.797	1461.001	1393.996	829	1205	58	31.5194	5	2	0	1	189.0004	7.999996	271.0001	0	49.00003	7124	6218	4971.003	6418	5456	11076	5105.003	534.0002	15190.95	5607	4967
ENSMFAG00000000066	9711.00256	18245.02	12577	9554	9747	8287	5258	9545	11620	8149	17035.96	16970.99	17107.01	15127.01	14150	14977.97	17146.05	7477.996	10640	14757.95648	13867	12983	5588.00529	11718	7713	7675	2853.997	7503	6136	5138	6788.00027	28501	9659	11464	15386.01	12987	14435	6682	16453.04	7364	10135	25595.97	11819	7556
ENSMFAG00000000067	902	208.999913	928.00068	446.00016912325	715.000000045944	317.000130917682	314.9995	805.99958	1352	784.9999	155	207	500.9993	756.9993	262.00030218235	397.9994	273.99975	450	414.9995	179.9999	456.99982	209.9997	202.00004	52	369.00002099	37	235.9993	762.9997589	414.9996225897	193.0003	572.99963	74	333.99956	379.001	33	681	293.0002	4	35	217.000055	486.00001	1448	332.9998	355.99995
ENSMFAG00000000068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	199	15	0	0	0	0	0	0	0	0
ENSMFAG00000000069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000070	339.56766569	664.19557	386.5128	588.9288	331.9467	0	328.63602	637.0098	764.852	394.1964	610.22982	328.5677	805.69946317	1248.303	1285.8676	386.0339344	1054.407581	346.39	1075.7981	836.6016	710.361	546.9510288534	309.02137	272.35228	254.71004	163.81799	0.0000000487307	576.14600155282	69.8435	164.3107	230.408	0	0	478.61601	1249.296	341.9463	223.0407	1204.704	0.0000000293731	226.823734646	159.98255	1430.26724	322.04966	447.049
ENSMFAG00000000071	18.3864	26.8969	59.2707	25.9161	33.7459	28.7346	39.302	53.2303	35.0356	44.2438	37.1791	35.2227	27.878	37.5521	18.2429	36.0991	27.6187	36.5179	30.8183	49.8354	40.7888	41.0278	47.0146	70.1835	40.1976	46.8789	10.4331	39.522	37.2193	26.5483	38.7383	136.243	28.8131	44.2664	92.6502	44.7766	66.824	54.3332	48.2066	44.3433	32.4968	98.6168	50.6083	29.8071
ENSMFAG00000000072	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000073	2926.1438	2280.834	2858.5949	1510.8218	2309.2683	3224.7727827712	1247.76649	3863.2962	2907.6053	3362.9274	1385.563067	1134.45	1601.42480188152	2189.35806	1069.7526	635.4494	1537.3871	1613.19968	1613.11510028259	1663.26810359082	1788.649824	183.1170336475	6242.4905	4581.39412	16710.852	11446.426	9464.079	11724.4646223096	13882.691	10948.6709	18945.4968	64994.1444	25973.48038	2386.042402292	3112.372	2570.1386	2190.02554033784	5283.957344881	4527.2360000111	2400.152	796.0124	6305.453293	2815.79931	3149.0195
ENSMFAG00000000074	410.9999	164.00003	202.0002	366.9995	319.9995	455.0005	278.0007	444.9994	483.9996	412.9995	8459.0033	5722.9969	8012.999	9116.9983	8041.9983	10408.999	7116.99452	6271.997	8852.004	6821.99289	6579.00241	6553.99909	841.99996	217.9996	1384.9992	571.9995	419.999492	738.9999	458	1343.9999	2310.9963	1	329.0004	643.9991	1377.0005	752.0006	1565.0007	361.9998	1176.001	625.0004	1307.0004	2324.9986	833.0006	913.999
ENSMFAG00000000075	1166	1630	1801	1199	1917	1117	922	1618	1231	875	1560	1014	1602	1134	2004	1425	1768	1822	2055	1384	877	1433	1261	1247	1278	1193	678	354	1359	958	965	0	1053	720	1140	761	1274	648	1064	556	902	2934	1006	837
ENSMFAG00000000076	0	0	0	4	0	0	0	0	39	0	2886.0009	4079.00296	3588.0016	3452.001	5350.9998	3256.9985	3989.9969	3800.003	4136.996	3669.0021	5702.9959	2395.0023	0	0	0	0	0	83	0	11	90	0	0	361	191	216	190	347	315	174	205	1415	337	605.0005
ENSMFAG00000000077	2256	4526.996	4139.0036	2618.00257	3107.002	2498.996	1181.00000242025	1753.0004	1822.0028	1589.0034193	4318.002	5644.001	5606.003	3978.001	3794.004	4386.004	5608.004	2946.0005	3427.9999	3969.002	3573.995	1915.00156	1179.0006	2738.004	2775.99700044345	3524.998	2468.003	1268.001	2870.997	2286.0042	1863.9972	0	2583.99930813	1252.9951	1390.99900001273	1395.996	1319.0012	1239.9997	936.0001	862.0001114998	554.00042	2595.001	934.0002	1687.0006
ENSMFAG00000000078	7729.0042	11548.9976	8576.9989	5298.998	7479.0015	7398.998	3101.9973	6429.003	5425.9999	3440.9964	10505.999	9603.003	9254.9993	8312.995	5814.0043	9025	9602.998	9421.00537	4843.0022	5644.009	8147.0008	5514.996	4365.9964	4960.002	5038.9977	4939.999	2753.997	2634.0041	6188.001	4379.0015	5281.9955	0	7237.0013	6164.003	7075.9946	6272.996	7020.998	1303.9992	6266	3178.0018	4609.001	14401.999	4908.0022	4038.9952
ENSMFAG00000000079	23.6738	14.1584	29.2819	23.70647	57.1454	52.24893	15.9423	22.7162	23.7525	20.40396	8.91656	11.4032	26.1349	2.9543	47.1866	9.29142	23.8845	47.5969	21.6886	13.74868	23.8685	95.1379	61.4591	32.20054	74.8104	26.01359	19.9825	21.4506	42.02369	15.4449	24.3938	695.503	0	44.9091	222.051	50.0567	48.73405	41.9005	16.9163	3.38175	16.35628	39.78149	18.6197	39.73427
ENSMFAG00000000080	78.000021	0	133.0002	7	85	148.99976	146.9998	63.999971	163.99975	337.0001	0	54	25.000005	0	26	46	6	0	120.00018	33	76	0	0	8.000001	42.999958	86	0	0	2	56	19	0	61.00001	1	56	138	104.99999	235	0	6	0	90	70	79
ENSMFAG00000000081	4271	6013	7206	3080	8830	5456	7696	7077	6379	4535	5486	5407	6219	7890	5653	6529	8533	7067	7927	6450	7236	7238	4298	9624	5906	5138	2975	4708	8114	7550	7913	17039	6246	8627	7140	8890	11315	5648	8147	5421	12107	19883	9118	7858
ENSMFAG00000000082	0	0	0	0	0	0	0	142.9999	0	0	0	0	81	0	30	0	0	0	0	0	0	0	123	135	205	1	68	1288.999	206	411.0004	217.0003	0	290	779.9996	442	535.0005	138	255	671.00004	364	515.00035	1091.0004	188.99995238	489.9998
ENSMFAG00000000083	18	49	0	0	55	0	0	0	0	0	42	220	69	108	47	0	121	221	322	92	27	68	0	0	0	0	0	0	0	0	0	0	0	34	91	75	35	0	0	90	334	158	64	31
ENSMFAG00000000084	22.2368	90	46.1115	0	97	11	57	13	0	51	0	8	0	7	14	34	40	0	56	0	0	0	0	136	0	0	118.31	272.7226	0	13	37	0	38.5585	0	62	68.3351	95	0	136	55	51	89	49	13
ENSMFAG00000000085	26	135	154	38	0	248	128	49	238	97	0	0	0	0	0	22	63	0	0	12	48	193	0	69	0	0	0	0	79	0	94	0	63	47	0	13	22	0	0	58	0	67	15	0
ENSMFAG00000000086	4192	4581.075458	4267	2759.003436	3240	1897.0046	1570	2687	2118.997	2042.0044	2819	2846	2547	3603.79	3138.99730025352	3434	2876	2428.73	1890.99577763	2238.9974	2960	1665	1719	1219	2248	2309	900	3295.0014	2373	2046.999881877	1891	0	3141	3545	2835.00077	4538	5527	3887	2544.00000028137	2198.73	4158.001	8107.80972	4416	3407
ENSMFAG00000000087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000088	871.0005	1814.9951	1891.9982	1028	1636.996	802.9996	1877.0042	1290.9997	1029.9981	1248.9961	1618.9969	2032.0041	2509.004	2308.001	1548.9978	1293.9981	1993.0029	1860.9952	2365.9995	1442.0007	1381.9962	798.9999	725.9997	695.9996	1378.99504	1091.9975	656.00033	536	1242.9978	608.9997	1430.9961	8605.995	533.9998	1577.995	870.0005	1869.0025	2163.9982	899.0002	929.0002	918.0002	2171.9957	3767.002	1679.0025	1072.9988
ENSMFAG00000000089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000090	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	214	0	0	65	109	0	0	245	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000091	54.5022	60.1412	84.1855	50.2787	90.1666	34.9752	51.8516	47.3868	38.9243	52.0048	31.432	39.1255	61.7661	41.8529	66.6419	68.1064	65.0012	59.0866	66.0969	97.4655	124.638	379.649	92.5742	53.0698	63.6446	54.2931	33.5129	54.5542	26.9778	36.7174	75.6275	9.17582	29.8718	44.8685	61.0024	49.0939	53.1963	22.3714	520.305	12.1374	60.5563	97.5932	38.3491	30.5816
ENSMFAG00000000092	64	30	8	2	20	0	38	29	8	1	12	35	31	10	87	10	8	0	3	40	6	21	61	12	12	0	28	0	3	2	11	0	14	18	20	41	36	0	37	19	39	83	28	17
ENSMFAG00000000093	1	1	42	0	20	0	2	4	5	0	87	53	1	92	121	102	39	21	55	70	145	15	0	8	2	3	26	21	0	11	2	0	3	73	132	126	115	41	48	50	15	272	66	113
ENSMFAG00000000094	0	0	0	0	0	0	0	1.00000018	0	0	0	0	0	0	0	0	0	0	0	0	0.99999991	0	9	3	0	1	12	0	0	0	0	1	1.00000029	0	0	0	0	0	0	0	0	0	0	1.00000035
ENSMFAG00000000095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	2.00000082129	0	0	0	0	0	0	0	0	0	0	2.99999558857	0	0	0	21	0	0	3.00000448754
ENSMFAG00000000097	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0
ENSMFAG00000000098	60.71	102.289	92.1494	45.2628	97.3142	77.2151	103.869	63.7155	75.2161	38.2967	74.3079	76.2049	52.2515	72.7228	77.2556	62.1971	89.1223	160.743	101.08	70.8043	70.4554	101.323	259.359	162.002	124.854	110.872	50.1579	216.434	101.372	87.8791	94.5757	448.801	46.3942	89.5321	88.6462	87.3859	97.1876	139.731	50.8372	56.8317	147.156	179.639	50.102	53.4633
ENSMFAG00000000099	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000100	0	0	1.0154	0	0	0	0	4.11459	53	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000101	0	0	0	0	0	0	0	170	81	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMFAG00000000102	447.04	654.998	566.824	493.602	715.297	155.418	171.822	342.244	255.641	551.751	1186.75	413.676	764.793	826.538	1303.97	694.643	911.276	616.128	552.565	705.729	1193.2	718.241	426.006	335.376	341.032	413.08	52.4149	131.031	614.412	292.716	339.956	147	1132.86	380.896	160.605	260.724	424.892	4.10177	670.807	270.691	467.007	642.864	179.731	403.994
